row,time,model,line,log_time,method,delta_seconds,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,log_output_tokens,input_cost,output_cost,cache_read_cost,cache_creation_cost,charged
737,2026-09-20T10:20:42.901547+08:00,claude-opus-5,2359,2026-09-20T02:20:23.327Z,model+4_token_fields+time,19.574547,2,2610,0,668968,2610,0.000010,0.065250,0.000000,4.181050,4.246310
736,2026-09-20T10:24:30.592501+08:00,claude-opus-5,2367,2026-09-20T02:24:27.042Z,model+4_token_fields+time,3.550501,2,1275,668968,2698,1275,0.000010,0.031875,0.334484,0.016862,0.383232
734,2026-09-20T10:25:31.195454+08:00,claude-opus-5,2378,2026-09-20T02:25:23.450Z,model+4_token_fields+time,7.745454,2,1339,671666,1636,1339,0.000010,0.033475,0.335833,0.010225,0.379543
732,2026-09-20T10:26:54.736309+08:00,claude-opus-5,2383,2026-09-20T02:26:31.124Z,model+4_token_fields+time,23.612309,2,2648,673302,1933,2648,0.000010,0.066200,0.336651,0.012081,0.414942
730,2026-09-20T14:38:33.252146+08:00,claude-opus-5,2398,2026-09-20T06:38:29.295Z,model+4_token_fields+time,3.957146,2,744,0,677932,744,0.000010,0.018600,0.000000,4.237075,4.255685
728,2026-09-20T14:40:04.340604+08:00,claude-opus-5,2403,2026-09-20T06:38:42.575Z,model+4_token_fields+time,81.765604,2,5390,677932,1493,5390,0.000010,0.134750,0.338966,0.009331,0.483057
726,2026-09-20T14:40:29.48236+08:00,claude-opus-5,2414,2026-09-20T06:40:29.388Z,model+4_token_fields+time,0.09436,2,1107,679425,5474,1107,0.000010,0.027675,0.339712,0.034212,0.401610
724,2026-09-20T14:50:33.607995+08:00,claude-opus-5,2422,2026-09-20T06:50:26.829Z,model+4_token_fields+time,6.778995,2,2988,0,687253,2988,0.000010,0.074700,0.000000,4.295331,4.370041
722,2026-09-20T14:51:45.805674+08:00,claude-opus-5,2433,2026-09-20T06:51:45.696Z,model+4_token_fields+time,0.109674,2,3721,687253,3351,3721,0.000010,0.093025,0.343627,0.020944,0.457605
720,2026-09-20T15:13:20.839878+08:00,claude-opus-5,2441,2026-09-20T07:13:21.512Z,model+4_token_fields+time,-0.672122,2,6835,0,694358,6835,0.000010,0.170875,0.000000,4.339738,4.510623
718,2026-09-20T15:13:57.481557+08:00,claude-opus-5,2451,2026-09-20T07:13:57.413Z,model+4_token_fields+time,0.068557,2,1096,694358,6918,1096,0.000010,0.027400,0.347179,0.043237,0.417826
717,2026-09-20T15:16:04.241582+08:00,claude-opus-5,2458,2026-09-20T07:16:02.446Z,model+4_token_fields+time,1.795582,2,692,701276,1129,692,0.000010,0.017300,0.350638,0.007056,0.375004
715,2026-09-20T15:16:22.154088+08:00,claude-opus-5,2468,2026-09-20T07:16:22.079Z,model+4_token_fields+time,0.075088,2,570,702405,1140,570,0.000010,0.014250,0.351202,0.007125,0.372588
714,2026-09-20T15:19:42.854871+08:00,claude-opus-5,2475,2026-09-20T07:19:39.609Z,model+4_token_fields+time,3.245871,2,1296,703545,608,1296,0.000010,0.032400,0.351772,0.003800,0.387983
712,2026-09-20T15:20:15.664037+08:00,claude-opus-5,2479,2026-09-20T07:20:15.593Z,model+4_token_fields+time,0.071037,2,1636,704153,1594,1636,0.000010,0.040900,0.352077,0.009962,0.402949
711,2026-09-20T16:18:15.901264+08:00,claude-opus-5,2492,2026-09-20T08:18:07.721Z,model+4_token_fields+time,8.180264,2,812,0,707430,812,0.000010,0.020300,0.000000,4.421437,4.441747
710,2026-09-20T16:22:06.164908+08:00,claude-opus-5,2500,2026-09-20T08:22:01.072Z,model+4_token_fields+time,5.092908,2,1476,707430,865,1476,0.000010,0.036900,0.353715,0.005406,0.396031
708,2026-09-20T16:24:33.899314+08:00,claude-opus-5,2516,2026-09-20T08:24:16.753Z,model+4_token_fields+time,17.146314,2,1326,708295,1626,1326,0.000010,0.033150,0.354148,0.010162,0.397470
706,2026-09-20T16:30:24.164053+08:00,claude-opus-5,2525,2026-09-20T08:30:21.282Z,model+4_token_fields+time,2.882053,2,736,711247,72,736,0.000010,0.018400,0.355623,0.000450,0.374484
704,2026-09-20T16:30:45.563982+08:00,claude-opus-5,2529,2026-09-20T08:30:40.632Z,model+4_token_fields+time,4.931982,2,717,711319,851,717,0.000010,0.017925,0.355660,0.005319,0.378913
702,2026-09-20T16:31:15.203454+08:00,claude-opus-5,2534,2026-09-20T08:31:15.178Z,model+4_token_fields+time,0.025454,2,797,712170,932,797,0.000010,0.019925,0.356085,0.005825,0.381845
