line,name,description,result_chars,result_lines
29,Bash,List working directory contents,392,[31]
30,Bash,List migration-bundle contents,724,[34]
44,Read,/data_0/project/hyf/migration-bundle/DEPLOY.md,1958,[47]
48,Read,/data_0/project/hyf/migration-bundle/source-status.txt,727,[49]
50,Read,/data_0/project/hyf/migration-bundle/source-commit.txt,45,[51]
52,Read,/data_0/project/hyf/migration-bundle/SHA256SUMS,612,[53]
57,Bash,"Check OS, arch, glibc, disk space",378,[59]
58,Bash,Verify bundle checksums,235,[60]
70,Bash,"Check network, pip config, existing dirs",291,[72]
71,Bash,Inspect tarball structures,826,[73]
77,Bash,Check for cluster scheduler and resources,289,[78]
82,Bash,Extract environment and source archives,200,[83]
86,Bash,Run conda-unpack to relocate environment,173,[87]
95,Bash,Install package in editable mode,1390,[96]
100,Bash,Inspect leftover distribution artifacts,116,[101]
104,Bash,Inspect leftover dist-info contents,753,[105]
109,Bash,Remove leftover dist-info directory,3,[110]
113,Bash,Run CLI help and import check,1363,[114]
123,Bash,Check external tools and env vars,274,[124]
128,Bash,Verify R packages,55,[129]
133,Bash,Install Chromium for Playwright,1093,[135]
134,Bash,Check for Chinese fonts,436,[136]
140,Bash,Test Chromium launch and PDF generation,84,[141]
149,Bash,Remove test PDF,4,[150]
153,Write,/home/hyf/apps/omsnpscore/activate.sh,133,[155]
157,Bash,Verify activation script works,220,[158]
161,Bash,Check existing memory files,96,[162]
164,Write,/home/hyf/.claude/projects/-data-0-project-hyf/memory/omsnpscore-deployment.md,108,[166]
168,Write,/home/hyf/.claude/projects/-data-0-project-hyf/memory/MEMORY.md,159,[170]
186,Bash,Check git status of deployed code,326,[188]
187,Bash,Check gitee connectivity and git credentials,216,[189]
193,Bash,Search source for repository URL,445,[194]
195,Bash,Test gitee ssh auth and check pack.log,182,[196]
201,Bash,Check if gitee repo is publicly readable,234,[202]
211,AskUserQuestion,,137,[212]
216,Read,/home/hyf/.ssh/id_rsa.pub,572,[217]
228,Bash,Verify gitee SSH authentication,158,[229]
232,Bash,List remote refs on gitee repo,988,[233]
242,Bash,Init git repo and fetch remote history,207,[243]
247,Bash,Fetch PR refs and inspect branch tips,479,[248]
252,Bash,Compare working tree against each remote branch,234,[253]
257,Bash,Analyze diff nature against main,570,[258]
267,AskUserQuestion,,125,[268]
289,Bash,Re-point remote to correct repo and list branches,469,[295]
299,Bash,Clean stale refs and fetch correct repo,738,[300]
304,Bash,Check ancestry between snapshot base and master,271,[305]
309,Bash,Reset HEAD to base and show status,2171,[310]
314,Bash,Verify M files and compare against master commit,273,[320]
324,Bash,Show remaining diffs against master,1579,[325]
329,Bash,"Backup local diff, restore files, align to master",331,[330]
334,Bash,Verify deployment after sync,199,[335]
344,Bash,Run full test suite,1894,[345]
349,Read,/home/hyf/.claude/projects/-data-0-project-hyf/memory/omsnpscore-deployment.md,864,[350]
352,Edit,/home/hyf/.claude/projects/-data-0-project-hyf/memory/omsnpscore-deployment.md,118,[353]
368,Bash,Check git identity configuration,100,[369]
372,Bash,Verify commit identity and push permission,174,[373]
382,Read,/home/hyf/apps/omsnpscore/code/README.md,340,[383]
386,Bash,Verify data repo URL and find other stale references,176,[387]
391,Edit,/home/hyf/apps/omsnpscore/code/README.md,146,[393]
400,Bash,Show README diff and status,491,[401]
404,AskUserQuestion,,201,[405]
409,Edit,/home/hyf/apps/omsnpscore/code/README.md,146,[410]
412,Bash,Show final README diff,534,[413]
416,Bash,Commit and push README update,350,[417]
419,Bash,Confirm local and remote are in sync,124,[425]
436,Bash,Search for clues about server 35,931,[437]
438,Bash,Search bundle and network config for server IPs,325,[439]
451,Bash,Locate local snpEff installation and data dir,626,[453]
452,Bash,Test SSH connectivity to hyf35,81,[459]
463,Bash,Check local snpEff data dir sizes,1449,[464]
465,Bash,Find snpEff installation on hyf35,55,[466]
470,Bash,Search hyf35 for snpEff directories and databases,1705,[471]
475,Bash,Inventory snpEff databases on hyf35 with sizes,1708,[476]
485,Bash,Inspect local project dirs for species/database hints,278,[486]
490,Bash,Check local snpEff version and resolution logic,937,[491]
495,Bash,Inspect snpEff wrapper and both share dirs,1069,[496]
500,Bash,Check snpEff versions available on hyf35,453,[506]
510,AskUserQuestion,,249,[511]
522,Bash,Inspect the snpeff path on hyf35,1432,[523]
532,Bash,Aggregate genomes by name on hyf35,1560,[533]
537,Bash,Find rice genomes in the ref directory,1082,[538]
542,Bash,List remote rice entries with bin sizes,528,[544]
543,Bash,List local rice entries with bin sizes,313,[545]
549,Bash,List wheat-related genomes on hyf35,1419,[555]
566,Bash,Inspect CSv1 entries on hyf35,292,[568]
567,Bash,Find Nipponbare candidates and config descriptions,1347,[569]
573,Bash,Compare Nipponbare vs oryza_sativa and inspect CSv1,1014,[579]
583,AskUserQuestion,,217,[584]
588,Bash,Check rsync availability and create destination,300,[589]
592,Bash,Transfer rice Nipponbare database,686,[598]
602,Bash,Test loading transferred DB with local snpEff,1619,[603]
607,Bash,Extract true reference base at Chr1:1000000,53,[608]
610,Bash,Extract reference base using env python,10,[611]
613,Bash,Re-test annotation with correct reference base,359,[614]
618,Bash,Transfer CSv1 wheat database,268,[624]
628,Bash,Inspect CLI snpeff options,1702,[629]
632,Bash,Find how snpeff_db combines with chromosome,1625,[633]
635,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/annotator.py,840,[636]
640,Bash,Check transfer progress,95,[641]
645,Bash,Generate rice chromosome size file,213,[651]
662,Bash,Check CSv1 transfer progress,95,[663]
667,Bash,Check which CSv1 fai files have arrived,116,[668]
672,Bash,Generate snpEff config file,742,[673]
690,Bash,Check rsync completion stats,533,[691]
694,Bash,Verify file-level integrity against source,786,[695]
699,Bash,Re-verify with locale-independent sort,96,[700]
703,Bash,Generate wheat chromosome size file,371,[704]
707,Bash,Test wheat CSv1 annotation,382,[708]
717,Bash,Verify parameter resolution end-to-end,453,[718]
721,Write,/home/hyf/apps/omsnpscore/snpeff-data/README.md,143,[723]
725,Bash,Show final directory structure and disk usage,521,[726]
730,Bash,Move chr.size files into subdirectory,328,[731]
733,Edit,/home/hyf/apps/omsnpscore/snpeff-data/README.md,153,[734]
741,Edit,/home/hyf/apps/omsnpscore/snpeff-data/README.md,153,[742]
752,Bash,Check test-data in repo,962,[753]
756,Bash,Check test-data download instructions,1965,[757]
774,Bash,Inspect test-data path on hyf5090,1490,[775]
779,Bash,List VCF files on 5090 test-data,844,[780]
784,Bash,Inspect VCF samples and chromosome naming,434,[785]
789,Bash,Inspect snpeff dir and golden run inputs on 5090,1426,[795]
799,Bash,Aggregate genomes and check naming styles on 5090,426,[800]
812,Bash,Search repo docs for dev-run examples,973,[814]
813,Bash,Check CSv2 on hyf35,620,[820]
824,Read,/home/hyf/apps/omsnpscore/code/CLAUDE.md,2201,[825]
829,Bash,Transfer CSv2 from hyf35,268,[830]
833,Bash,Transfer wheat test VCF from 5090,273,[835]
834,Bash,Read dev-run CLI signature,2020,[836]
845,Bash,Read remaining dev-run options,1486,[846]
850,Bash,Check VCF contigs and actual variant chromosomes,344,[851]
855,Bash,Check CSv2 transfer progress,62,[856]
873,Agent,Explore candidate region output,1080,[877]
874,Agent,Explore method plugin system,1080,[879]
875,Agent,Explore report and external tools,1080,[886]
890,AskUserQuestion,,203,[898]
911,Bash,Check primer3 and blast tool availability,286,[912]
916,Bash,Check for blast and primer3 on remote servers,434,[917]
928,AskUserQuestion,,437,[929]
942,Agent,Design KASP module implementation,1080,[944]
945,AskUserQuestion,,324,[951]
956,ToolSearch,,56,[957]
959,SendMessage,,226,[960]
965,Bash,Verify CSv2 transfer integrity,234,[966]
975,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/annotator.py,1392,[976]
977,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/conclusion.py,2583,[978]
982,AskUserQuestion,,346,[983]
986,SendMessage,,226,[992]
996,Write,/home/hyf/.claude/plans/kasp-eager-lemon.md,139,[998]
1015,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/pipeline.py,434,[1016]
1017,Bash,Verify Python version and primer3-py wheel availability,333,[1018]
1022,Write,/home/hyf/.claude/plans/kasp-eager-lemon.md,149,[1023]
1030,ToolSearch,,57,[1031]
1033,ExitPlanMode,,13986,[1034]
1047,Bash,Generate CSv2 chr.size and rebuild snpEff config,135,[1048]
1050,Bash,Verify all three genomes resolve correctly,245,[1051]
1055,Bash,Verify genome resolution for all three databases,389,[1056]
1059,Bash,Run wheat end-to-end dev-run,268,[1060]
1064,Bash,Install primer3-py,16,[1066]
1065,Bash,Read project coding conventions,1289,[1067]
1079,Bash,Check e2e run output,1839,[1080]
1084,Bash,Locate vcfEffOnePerLine.pl and check perl,730,[1085]
1089,Bash,Symlink vcfEffOnePerLine.pl into env/bin,209,[1090]
1092,Bash,Rerun wheat end-to-end with correct exit code capture,268,[1093]
1102,Bash,Review existing test conventions,914,[1103]
1107,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_config.py,154,[1109]
1111,Bash,Check e2e progress,436,[1112]
1116,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/__init__.py,159,[1124]
1126,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/config.py,157,[1128]
1130,Bash,Run marker config tests,408,[1131]
1135,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_fasta.py,153,[1137]
1145,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/fasta.py,156,[1147]
1149,Bash,Run faidx tests,408,[1150]
1154,Bash,Validate faidx against real VCF REF alleles,183,[1155]
1159,Bash,Cross-check reader against samtools faidx,130,[1160]
1165,Bash,Compare VCF contig lengths against CSv2,963,[1172]
1178,Bash,Check 5090 CSv2 chromosome lengths,94,[1180]
1179,Bash,Check e2e run completion,788,[1181]
1185,Bash,Find which wheat assembly matches the VCF,526,[1186]
1190,Bash,Check j411 pairing and Fielder size,258,[1197]
1201,Bash,Check rice VCF against local oryza_sativa,328,[1202]
1206,AskUserQuestion,,115,[1207]
1211,Bash,Transfer rice test VCF from 5090,251,[1218]
1220,Bash,Prepare rice chr.size and snpEff config,215,[1221]
1224,Bash,Run rice end-to-end dev-run,268,[1225]
1228,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_regions.py,155,[1230]
1232,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/regions.py,158,[1240]
1242,Bash,Run region tests,408,[1243]
1245,Bash,Check rice e2e progress,260,[1246]
1250,Bash,Run linting and type checks on new module,503,[1251]
1253,Bash,Format and run full test suite,711,[1254]
1265,Bash,Check rice e2e status,200,[1266]
1270,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_filters.py,155,[1272]
1274,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,158,[1282]
1284,Bash,Run filter chain tests,408,[1285]
1287,Bash,Check rice e2e status,394,[1288]
1293,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_genotype.py,156,[1295]
1305,Bash,Check rice e2e results and candidate regions,260,[1306]
1310,Bash,Validate regions module against real pipeline output,395,[1311]
1314,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,159,[1316]
1320,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,168,[1321]
1329,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,168,[1330]
1332,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,168,[1333]
1335,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,169,[1336]
1338,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,169,[1339]
1347,Bash,Run genotype and filter tests,3166,[1348]
1352,Edit,/home/hyf/apps/omsnpscore/code/tests/test_marker_genotype.py,166,[1353]
1355,Edit,/home/hyf/apps/omsnpscore/code/tests/test_marker_genotype.py,166,[1356]
1364,Bash,Rerun genotype tests and quality checks,764,[1365]
1378,Bash,Show ruff errors in detail,1480,[1379]
1383,Bash,Check codebase convention for fullwidth punctuation,1420,[1384]
1388,Bash,Check if existing codebase passes ruff cleanly,217,[1389]
1393,Bash,Find fullwidth punctuation in my string literals,379,[1400]
1402,Bash,Replace fullwidth commas with halfwidth in string literals,245,[1403]
1405,Bash,Full quality gate check,653,[1406]
1432,Bash,List candidate CSV files from real run,794,[1433]
1436,Bash,Inspect varFilter dir and ED candidate columns,412,[1437]
1441,Bash,Check parent columns across all candidate tables,1348,[1442]
1446,Bash,Verify DP derivation from AD and AF==FREQ,179,[1453]
1457,Bash,Test AF vs FREQ allele-flip hypothesis,1086,[1458]
1462,Bash,Confirm AF is FREQ rounded to 3 decimals,184,[1463]
1466,Bash,Confirm AF equals FREQ rounded,265,[1467]
1471,Bash,Check QTGSeq columns and varFilter absence,487,[1478]
1482,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_sites.py,153,[1484]
1486,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/sites.py,156,[1494]
1496,Bash,Run site aggregation tests,2800,[1497]
1501,Edit,/home/hyf/apps/omsnpscore/code/tests/test_marker_sites.py,163,[1502]
1510,Bash,Rerun site tests after fixture fix,408,[1511]
1514,Bash,Validate full aggregation and filtering on real rice data,756,[1515]
1519,Bash,Inspect parent allele frequencies in real data,2811,[1520]
1524,Bash,Check parent depth and genotype composition,717,[1531]
1535,Bash,Threshold sensitivity analysis on real data,328,[1536]
1539,AskUserQuestion,,225,[1540]
1548,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_parent_purity.py,161,[1556]
1558,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/config.py,167,[1559]
1561,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,147,[1562]
1564,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,644,[1565]
1567,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,169,[1568]
1576,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/genotype.py,169,[1577]
1579,Bash,Run parent purity tests,408,[1580]
1583,Bash,Validate purity detection and fallback on real data,1504,[1584]
1594,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/oligo.py,156,[1596]
1599,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_kasp.py,162,[1607]
1609,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_design_kasp.py,159,[1611]
1613,Bash,Run KASP design tests,1025,[1614]
1624,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/oligo.py,166,[1625]
1627,Bash,Rerun KASP design tests after fix,408,[1628]
1632,Bash,Design a real KASP assay on rice data,329,[1633]
1637,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/variant.py,158,[1645]
1647,Write,/home/hyf/apps/omsnpscore/code/tests/test_marker_variant.py,155,[1649]
1651,Bash,Run variant classification tests,630,[1652]
1656,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/variant.py,168,[1657]
1665,Bash,Verify variant fix and run full quality gate,1062,[1666]
1680,Bash,Show ruff and mypy errors concisely,1370,[1681]
1685,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/sites.py,166,[1686]
1688,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/sites.py,166,[1689]
1697,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_kasp.py,172,[1698]
1700,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_kasp.py,172,[1701]
1703,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_kasp.py,172,[1704]
1713,Bash,Check mypy overrides config,227,[1714]
1716,Edit,/home/hyf/apps/omsnpscore/code/pyproject.toml,96,[1717]
1719,Read,/home/hyf/apps/omsnpscore/code/pyproject.toml,243,[1720]
1723,Edit,/home/hyf/apps/omsnpscore/code/pyproject.toml,151,[1724]
1726,Bash,Fix remaining lint issues and verify,791,[1727]
1740,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_indel.py,163,[1742]
1745,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/outputs.py,158,[1747]
1755,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/service.py,158,[1757]
1760,Bash,Inspect CLI structure and conventions,1410,[1761]
1765,Write,/home/hyf/apps/omsnpscore/code/src/snp_score/marker_cli.py,154,[1773]
1775,Bash,Find app definition and file end,251,[1776]
1778,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/cli.py,96,[1779]
1781,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/cli.py,446,[1782]
1785,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/cli.py,157,[1786]
1788,Bash,Wire marker commands into CLI,160,[1789]
1798,Bash,Verify marker commands registered,1850,[1799]
1802,Bash,Run marker CLI end-to-end on real data,1662,[1803]
1807,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/outputs.py,168,[1808]
1816,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/outputs.py,168,[1817]
1819,Bash,Rerun marker CLI after fix,920,[1820]
1823,Bash,Inspect real marker design output,2912,[1824]
1828,Bash,Analyze why no KASP markers were produced,1213,[1835]
1839,Bash,Diagnose rejected rows discrepancy,87,[1840]
1844,Read,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,1338,[1845]
1847,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/filters.py,168,[1848]
1856,Bash,Add regression test for null predicate rows,200,[1857]
1860,Bash,Verify row accounting reconciles after fix,381,[1861]
1865,Bash,Debug why Primer3 fails on all SNPs,419,[1866]
1870,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/design_kasp.py,172,[1871]
1879,Bash,Rerun after SEQUENCE_TARGET fix,335,[1880]
1883,Bash,Final quality gate for phase 1,864,[1884]
1895,Bash,Show remaining lint and type errors,506,[1896]
1899,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/service.py,394,[1900]
1927,Skill,,27,[1928]
1939,Bash,Herdr preflight check,176,[1940]
1944,Bash,Check herdr skill version and agent list,3771,[1945]
1949,Bash,Check git baseline for handoff,537,[1950]
1960,Write,/home/hyf/apps/omsnpscore/HANDOFF-marker-module.md,146,[1962]
1979,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/service.py,168,[1980]
1988,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/service.py,168,[1989]
1991,Edit,/home/hyf/apps/omsnpscore/code/src/snp_score/marker/service.py,168,[1992]
1994,Bash,Remove dead code and verify full green baseline,564,[1995]
1998,Bash,Initialize pairctl state,606,[2005]
2009,Write,/home/hyf/apps/omsnpscore/.handoff/round1-flank.md,146,[2011]
2013,Bash,Dispatch round 1 to opencode via pairctl,259,[2014]
2017,Bash,Verify round recorded and executor received,923,[2024]
2035,Bash,Send clarification to unblock executor,559,[2036]
2054,Bash,Confirm post-design product check is in scope,559,[2061]
2072,Bash,Independently run acceptance command,407,[2073]
2076,Bash,Check file state and change scope,757,[2077]
2086,Bash,Inspect unexpected scratch directory,345,[2088]
